"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"CMWX1ZZABZ";1;"CMWX1ZZABZ-078";;;
2;"C1,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"18p";;;
3;"C3,C4,C5,C6,C7,C8,C9,C11,C12,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";10;"100n";;;
4;"C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10n";;;
5;"C14,C15";"CP_Elec_6.3x4.9";2;"10u";;;
6;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Male";;;
7;"J2";"USB_Mini-B_Wuerth_65100516121_Horizontal";1;"USB_OTG";;;
8;"R1,R2,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
9;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3.3k";;;
10;"U2";"SOT-223";1;"LM1117ADJ";;;
11;"Y1";"Crystal_HC49-U_Vertical";1;"8Mhz";;;
